,Brand,Type,Scent,Visuals,Colors,Gender*Sex,URL,Other Info,Group
0,Paul Michell,Sculpting Foam Hair Mousse, Sweet creamy coconut,,"white, red, black",,https://www.jcpenney.com/p/paul-mitchell-sculpting-foam-hair-mousse-169-oz/ppr5007206905?pTmplType=beauty&utm_source=google&utm_medium=cpc&utm_campaign=paid%20search&cid=paid%20search%7Cgoogle%7CG_Basket_Beauty_GEO_CONTROL%7CG_Basket_Beauty_Products_DSA&utm_content=dsa-1535404559985&utm_adgroupid=155532914821&utm_keyword=&utm_matchtype=&utm_device=c&gad_source=1&gclid=Cj0KCQjw1qO0BhDwARIsANfnkv90yZnBqKOSnDkVkG1GwAVLRHod2U5QKmIvJgYv2U4sVgiJSRxc5aQaAsJsEALw_wcB&gclsrc=aw.ds,,hair care
1,Avon,deodorant,"""Amber Floral (NOTES Top: Italian bergamot Bottom: Tempting jasmine Base: Amber)""",Flower,"Warm brown, white, yellow",,https://www.avon.com/product/imari-rollon-antiperspirant-deodorant-54052,,deodorants
2,Avon,Deodorant,"""Wild Country""",Longhorn bull icon,"Brown, light blue, white",Male,https://www.avon.com/product/wild-country-rollon-antiperspirant-deodorant-10240,,deodorants
3,Veet ,"ready to use waxx strips kit remover legs, body",acai berries,Women getting waxed,"pink, yellow, white",,https://m.media-amazon.com/images/I/819Z2WwvAQL._AC_SX679_.jpg,"easy to use all skin types, it rolls larger areas of body",hair removal
4,Suave,Conditioner,"Almond, shea butter","Almonds, shea nuts, leaves","Green, brown",,https://target.scene7.com/is/image/Target/GUEST_93bbe7c0-7c17-46ab-bc2c-b631c925a104?wid=488&hei=488&fmt=pjpeg,,hair care
5,Nopunzel,Cream,Aloe Vera,,"yellow, mint, blue",,https://m.media-amazon.com/images/I/61hJqIkWn8L._SX679_.jpg,none,hair removal
6,NEOMENTDG,Cream,Aloe Vera,Female legs,"green, white",,https://m.media-amazon.com/images/I/61XfOAQb7oL._SX679_.jpg,none,hair removal
7,MEOLY,"Foam, Cream","Aloe Vera, Cherry Blossom",,"blue, white",,https://m.media-amazon.com/images/I/61xEEf8wLEL._SX679_.jpg,none,hair removal
8,Alvera,deodorant,"Aloe, Almonds","Aloe plant, butterfly","Yellow, green, brown",,https://www.amazon.com/Alvera-Natural-Roll-Deodorant-Almonds/dp/B001E0ZQ54,,deodorants
9,Aveeno,Conditioner,Apple cider vinegar,Oats,"Brown, orange, white",,https://www.aveeno.com/sites/aveeno_us_2/files/styles/jjbos_adaptive_images_generic-tablet/public/product-images/ave_052800673052_apple_cider_vinegar_conditioner_12oz_vanity.png,Good dull hair,hair care
10,Right Guard,Deodorant,Arctic Resfresh,,"orange, blue, gray",,https://www.hilitefreshmarket.com/p/right-guard-total-defense-5-power-gel-arctic-refresh-deodorant-4-oz/MDAwMTMyODY1NA,,deodorants
11,Herbal Essences,Conditioner,Argan,"Argan fruits, leaves",Bright blue,,https://i5.walmartimages.com/seo/Herbal-Essences-Bio-Renew-Argan-Oil-Shampoo-Conditioner-Set-13-5-oz_0d89ff9d-3811-472e-9de9-820f0f709fca.0ef63be0eebeed310a87695b028a767a.jpeg,,hair care
12,eva-nyc,Hair oil,"Argan, coconut ",,"Black, purple",,https://www.ulta.com/p/mane-magic-nourishing-hair-oil-pimprod2045577?sku=2626276," is solid purple in color, is slender. top contains a purple dropper. Wording is written in black smaller letters. brand name is in all lowercase, contains letters that are a mix of thick, thin lines, have little dots at ends. ",hair care
13,Durex Tropical,Condom,"Banana, Apple, Strawberry","mouth, fruits: strawberry, apple, banana. ","Green, red, yellow",,https://target.scene7.com/is/image/Target/GUEST_75d7c64b-8d9b-42da-83b7-52218b64e3d6?wid=1200&hei=1200&qlt=80&fmt=webp,,contraception & safe sex
14,Folkculture,Diffusable Essential Oils,"Basalm, Cedarwood","Mushrooms, Moon, Hand","Amber, Green, Black ",,https://m.media-amazon.com/images/I/81j7bncRwwL._AC_SL1500_.jpg,Part of a 6 pack,air fresheners
15,Folkculture,Diffusable Essential Oils,"Basalm, Cedarwood","Mushrooms, Moon, Hand","Amber, Green, Black ",,https://m.media-amazon.com/images/I/81j7bncRwwL._AC_SL1500_.jpg,Part of a 6 pack,air fresheners
16,Folkculture,Diffusable Essential Oils,"Basalm, Cedarwood","Mushrooms, Moon, Hand","Amber, Green, Black ",,https://m.media-amazon.com/images/I/81j7bncRwwL._AC_SL1500_.jpg,Part of a 6 pack,air fresheners
17,Folkculture,Diffusable Essential Oils,"Basalm, Cedarwood","Mushrooms, Moon, Hand","Amber, Green, Black ",,https://m.media-amazon.com/images/I/81j7bncRwwL._AC_SL1500_.jpg,Part of a 6 pack,air fresheners
18,Folkculture,Diffusable Essential Oils,"Basalm, Cedarwood","Mushrooms, Moon, Hand","Amber, Green, Black ",,https://m.media-amazon.com/images/I/81j7bncRwwL._AC_SL1500_.jpg,Part of a 6 pack,air fresheners
19,Folkculture,Diffusable Essential Oils,"Basalm, Cedarwood","Mushrooms, Moon, Hand","Amber, Green, Black ",,https://m.media-amazon.com/images/I/81j7bncRwwL._AC_SL1500_.jpg,Part of a 6 pack,air fresheners
20,ShineMore Facial Wax Strips,waxing strips,"beeswax, shea butter","Smiling white women, honeycomb, jojoba","green, white",,https://m.media-amazon.com/images/I/51Vf1V0dXLL._SX300_SY300_QL70_FMwebp_.jpg,,hair removal
